"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 00:29:30 UTC 2025","Wed Mar 12 00:29:31 UTC 2025","734","chromium","example.test.ts","","","","basic test",""
"passed","Wed Mar 12 00:29:42 UTC 2025","Wed Mar 12 00:29:43 UTC 2025","643","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page > Login tests","","","Login with username """" and password ""SuperSecretPassword!""",""
"passed","Wed Mar 12 00:29:39 UTC 2025","Wed Mar 12 00:29:39 UTC 2025","496","chromium","AndreiPeterfi/e2e/home.spec.ts","Testing the Home Page","","","Check HomePage no of list elements",""
"passed","Wed Mar 12 00:29:30 UTC 2025","Wed Mar 12 00:29:32 UTC 2025","1357","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page","","","Successful login",""
"passed","Wed Mar 12 00:29:39 UTC 2025","Wed Mar 12 00:29:40 UTC 2025","724","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page > Login tests","","","Login with username ""tomsmith"" and password ""SuperSecretPassword!""",""
"passed","Wed Mar 12 00:29:41 UTC 2025","Wed Mar 12 00:29:42 UTC 2025","663","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page > Login tests","","","Login with username ""tomsmith"" and password """"",""
"passed","Wed Mar 12 00:29:40 UTC 2025","Wed Mar 12 00:29:41 UTC 2025","648","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page > Login tests","","","Login with username ""tomsmith"" and password ""SuperSecretPassword""",""
"passed","Wed Mar 12 00:29:41 UTC 2025","Wed Mar 12 00:29:41 UTC 2025","660","chromium","AndreiPeterfi/e2e/formAuthentication.spec.ts","Testing the For Authentication page > Login tests","","","Login with username ""tomsmit"" and password ""SuperSecretPassword!""",""
"passed","Wed Mar 12 00:29:30 UTC 2025","Wed Mar 12 00:29:31 UTC 2025","937","chromium","AndreiPeterfi/e2e/home.spec.ts","Testing the Home Page","","","Check HomePage Title",""
