"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","479","Login with username ""tomsmith"" and password """"","chromium","Wed Mar 12 03:28:43 UTC 2025","passed","Wed Mar 12 03:28:44 UTC 2025","Testing the For Authentication page > Login tests","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","1106","basic test","chromium","Wed Mar 12 03:28:40 UTC 2025","passed","Wed Mar 12 03:28:41 UTC 2025","","example.test.ts","",""
"","520","Login with username """" and password ""SuperSecretPassword!""","chromium","Wed Mar 12 03:28:44 UTC 2025","passed","Wed Mar 12 03:28:44 UTC 2025","Testing the For Authentication page > Login tests","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","479","Login with username ""tomsmit"" and password ""SuperSecretPassword!""","chromium","Wed Mar 12 03:28:43 UTC 2025","passed","Wed Mar 12 03:28:43 UTC 2025","Testing the For Authentication page > Login tests","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","465","Login with username ""tomsmith"" and password ""SuperSecretPassword""","chromium","Wed Mar 12 03:28:42 UTC 2025","passed","Wed Mar 12 03:28:43 UTC 2025","Testing the For Authentication page > Login tests","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","541","Login with username ""tomsmith"" and password ""SuperSecretPassword!""","chromium","Wed Mar 12 03:28:42 UTC 2025","passed","Wed Mar 12 03:28:42 UTC 2025","Testing the For Authentication page > Login tests","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","1364","Successful login","chromium","Wed Mar 12 03:28:40 UTC 2025","passed","Wed Mar 12 03:28:41 UTC 2025","Testing the For Authentication page","AndreiPeterfi/e2e/formAuthentication.spec.ts","",""
"","1145","Check HomePage Title","chromium","Wed Mar 12 03:28:40 UTC 2025","passed","Wed Mar 12 03:28:41 UTC 2025","Testing the Home Page","AndreiPeterfi/e2e/home.spec.ts","",""
"","346","Check HomePage no of list elements","chromium","Wed Mar 12 03:28:42 UTC 2025","passed","Wed Mar 12 03:28:42 UTC 2025","Testing the Home Page","AndreiPeterfi/e2e/home.spec.ts","",""
