"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","A/B - Check Header","chromium","Mon Mar 17 21:03:29 UTC 2025","failed","Mon Mar 17 21:03:29 UTC 2025","Testing the A/B page","AndreiPeterfi/e2e/abTests.spec.ts","",""
"","7","Login with username ""tomsmit"" and password ""SuperSecretPassword!""","chromium","Mon Mar 17 21:03:35 UTC 2025","failed","Mon Mar 17 21:03:35 UTC 2025","Testing the Authentication page > Login tests","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","12","Check HomePage Title","chromium","Mon Mar 17 21:03:29 UTC 2025","failed","Mon Mar 17 21:03:29 UTC 2025","Testing the Home Page","AndreiPeterfi/e2e/homeTests.spec.ts","",""
"","10","Successful login","chromium","Mon Mar 17 21:03:29 UTC 2025","failed","Mon Mar 17 21:03:29 UTC 2025","Testing the Authentication page","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","7","Login with username ""tomsmith"" and password ""SuperSecretPassword!""","chromium","Mon Mar 17 21:03:32 UTC 2025","failed","Mon Mar 17 21:03:32 UTC 2025","Testing the Authentication page > Login tests","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","7","Login with username """" and password ""SuperSecretPassword!""","chromium","Mon Mar 17 21:03:39 UTC 2025","failed","Mon Mar 17 21:03:39 UTC 2025","Testing the Authentication page > Login tests","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","7","Login with username ""tomsmith"" and password """"","chromium","Mon Mar 17 21:03:37 UTC 2025","failed","Mon Mar 17 21:03:37 UTC 2025","Testing the Authentication page > Login tests","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","9","Check HomePage no of list elements","chromium","Mon Mar 17 21:03:31 UTC 2025","failed","Mon Mar 17 21:03:31 UTC 2025","Testing the Home Page","AndreiPeterfi/e2e/homeTests.spec.ts","",""
"","7","Login with username ""tomsmith"" and password ""SuperSecretPassword""","chromium","Mon Mar 17 21:03:33 UTC 2025","failed","Mon Mar 17 21:03:33 UTC 2025","Testing the Authentication page > Login tests","AndreiPeterfi/e2e/formAuthenticationTests.spec.ts","",""
"","13","basic test","chromium","Mon Mar 17 21:03:29 UTC 2025","failed","Mon Mar 17 21:03:29 UTC 2025","","example.test.ts","",""
